code	desc
00	procedures and interventions, not elsewhere classified
00-99.99	procedures
00.0	therapeutic ultrasound
00.01	therapeutic ultrasound of vessels of head and neck
00.02	therapeutic ultrasound of heart
00.03	therapeutic ultrasound of peripheral vascular vessels
00.09	other therapeutic ultrasound
00.1	pharmaceuticals
00.10	implantation of chemotherapeutic agent
00.11	infusion of drotrecogin alfa (activated)
00.12	administration of inhaled nitric oxide
00.13	injection or infusion of nesiritide
00.14	injection or infusion of oxazolidinone class of antibiotics
00.15	high-dose infusion interleukin-2 [il-2]
00.16	pressurized treatment of venous bypass graft [conduit] with pharmaceutical substance
00.17	infusion of vasopressor agent
00.18	infusion of immunosuppressive antibody therapy
00.19	disruption of blood brain barrier via infusion [bbbd]
00.2	intravascular imaging of blood vessels
00.21	intravascular imaging of extracranial cerebral vessels
00.22	intravascular imaging of intrathoracic vessels
00.23	intravascular imaging of peripheral vessels
00.24	intravascular imaging of coronary vessels
00.25	intravascular imaging of renal vessels
00.28	intravascular imaging, other specified vessel(s)
00.29	intravascular imaging, unspecified vessel(s)
00.3	computer assisted surgery [cas]
00.31	computer assisted surgery with ct/cta
00.32	computer assisted surgery with mr/mra
00.33	computer assisted surgery with fluoroscopy
00.34	imageless computer assisted surgery
00.35	computer assisted surgery with multiple datasets
00.39	other computer assisted surgery
00.4	adjunct vascular system procedures
00.40	adjunct vascular system procedure on single vessel
00.41	adjunct vascular system procedure on two vessels
00.42	adjunct vascular system procedure on three vessels
00.43	adjunct vascular system procedure on four or more vessels
00.44	procedure on vessel bifurcation
00.45	adjunct vascular system procedure, insertion of one vascular stent
00.46	adjunct vascular system procedure, insertion of two vascular stents
00.47	adjunct vascular system procedure, insertion of three vascular stents
00.48	adjunct vascular system procedure, insertion of four or more vascular stents
00.5	other cardiovascular procedures
00.50	implantation of cardiac resynchronization pacemaker without mention of defibrillation, total system [crt-p]
00.51	implantation of cardiac resynchronization defibrillator, total system [crt-d]
00.52	implantation or replacement of transvenous lead [electrode] into left ventricular coronary venous system
00.53	implantation or replacement of cardiac resynchronization pacemaker pulse generator only [crt-p]
00.54	implantation or replacement of cardiac resynchronization defibrillator pulse generator device only [crt-d]
00.55	insertion of drug-eluting peripheral vessel stent(s)
00.56	insertion or replacement of implantable pressure sensor (lead) for intracardiac hemodynamic monitoring
00.57	implantation or replacement of subcutaneous device for intracardiac hemodynamic monitoring
00.6	procedures on blood vessels
00.61	percutaneous angioplasty or atherectomy of precerebral (extracranial) vessel(s)
00.62	percutaneous angioplasty or atherectomy of intracranial vessel(s)
00.63	percutaneous insertion of carotid artery stent(s)
00.64	percutaneous insertion of other precerebral (extracranial) artery stent(s)
00.65	percutaneous insertion of intracranial vascular stent(s)
00.66	percutaneous transluminal coronary angioplasty [ptca] or coronary atherectomy
00.7	other hip procedures
00.70	revision of hip replacement, both acetabular and femoral components
00.71	revision of hip replacement, acetabular component
00.72	revision of hip replacement, femoral component
00.73	revision of hip replacement, acetabular liner and/or femoral head only
00.74	hip bearing surface, metal on polyethylene
00.75	hip bearing surface, metal-on-metal
00.76	hip bearing surface, ceramic-on-ceramic
00.77	hip bearing surface, ceramic-on-polyethylene
00.8	other knee and hip procedures
00.80	revision of knee replacement, total (all components)
00.81	revision of knee replacement, tibial component
00.82	revision of knee replacement, femoral component
00.83	revision of knee replacement, patellar component
00.84	revision of total knee replacement, tibial insert (liner)
00.85	resurfacing hip, total, acetabulum and femoral head
00.86	resurfacing hip, partial, femoral head
00.87	resurfacing hip, partial, acetabulum
00.9	other procedures and interventions
00.91	transplant from live related donor
00.92	transplant from live non-related donor
00.93	transplant from cadaver
00.94	intra-operative neurophysiologic monitoring
001	cholera
001-009.99	intestinal infectious diseases
001-139.99	infectious and parasitic diseases
001-999.99	diseases and injuries
001.0	cholera due to vibrio cholerae
001.1	cholera due to vibrio cholerae el tor
001.9	cholera, unspecified
002	typhoid and paratyphoid fevers
002.0	typhoid fever
002.1	paratyphoid fever a
002.2	paratyphoid fever b
002.3	paratyphoid fever c
002.9	paratyphoid fever, unspecified
003	other salmonella infections
003.0	salmonella gastroenteritis
003.1	salmonella septicemia
003.2	localized salmonella infections
003.20	localized salmonella infection, unspecified
003.21	salmonella meningitis
003.22	salmonella pneumonia
003.23	salmonella arthritis
003.24	salmonella osteomyelitis
003.29	other localized salmonella infections
003.8	other specified salmonella infections
003.9	salmonella infection, unspecified
004	shigellosis
004.0	shigella dysenteriae
004.1	shigella flexneri
004.2	shigella boydii
004.3	shigella sonnei
004.8	other specified shigella infections
004.9	shigellosis, unspecified
005	other food poisoning (bacterial)
005.0	staphylococcal food poisoning
005.1	botulism food poisoning
005.2	food poisoning due to clostridium perfringens [c. welchii]
005.3	food poisoning due to other clostridia
005.4	food poisoning due to vibrio parahaemolyticus
005.8	other bacterial food poisoning
005.81	food poisoning due to vibrio vulnificus
005.89	other bacterial food poisoning
005.9	food poisoning, unspecified
006	amebiasis
006.0	acute amebic dysentery without mention of abscess
006.1	chronic intestinal amebiasis without mention of abscess
006.2	amebic nondysenteric colitis
006.3	amebic liver abscess
006.4	amebic lung abscess
006.5	amebic brain abscess
006.6	amebic skin ulceration
006.8	amebic infection of other sites
006.9	amebiasis, unspecified
007	other protozoal intestinal diseases
007.0	balantidiasis
007.1	giardiasis
007.2	coccidiosis
007.3	intestinal trichomoniasis
007.4	intestinal cryptosporidiosis
007.5	cyclosporiasis
007.8	other specified protozoal intestinal diseases
007.9	unspecified protozoal intestinal disease
008	intestinal infections due to other organisms
008.0	intestinal infection due to escherichia coli [e. coli]
008.00	intestinal infection due to unspecified e. coli
008.01	intestinal infection due to enteropathogenic e. coli
008.02	intestinal infection due to enterotoxigenic e. coli
008.03	intestinal infection due to enteroinvasive e. coli
008.04	intestinal infection due to enterohemorrhagic e. coli
008.09	other intestinal e. coli infections
008.1	intestinal infection due to arizona group of paracolon bacilli
008.2	intestinal infection due to aerobacter aerogenes
008.3	intestinal infection due to proteus (mirabilis) (morganii)
008.4	intestinal infection due to other specified bacteria
008.41	intestinal infection due to staphylococcus
008.42	intestinal infection due to pseudomonas
008.43	intestinal infection due to campylobacter
008.44	intestinal infection due to yersinia enterocolitica
008.45	intestinal infection due to clostridium difficile
008.46	intestinal infection due to other anaerobes
008.47	intestinal infection due to other gram-negative bacteria
008.49	intestinal infection due to other specified bacteria
008.5	bacterial enteritis, unspecified
008.6	enteritis due to specified virus
008.61	enteritis due to rotavirus
008.62	enteritis due to adenovirus
008.63	enteritis due to norwalk virus
008.64	enteritis due to other small round viruses [srv&apos;s]
008.65	enteritis due to calcivirus
008.66	enteritis due to astrovirus
008.67	enteritis due to enterovirus nec
008.69	other viral enteritis
008.8	intestinal infection due to other organism, not elsewhere classified
009	ill-defined intestinal infections
009.0	infectious colitis, enteritis, and gastroenteritis
009.1	colitis, enteritis, and gastroenteritis of presumed infectious origin
009.2	infectious diarrhea
009.3	diarrhea of presumed infectious origin
01	incision and excision of skull, brain, and cerebral meninges
01-05.99	operations on the nervous system
01.0	cranial puncture
01.01	cisternal puncture
01.02	ventriculopuncture through previously implanted catheter
01.09	other cranial puncture
01.1	diagnostic procedures on skull, brain, and cerebral meninges
01.10	intracranial pressure monitoring
01.11	closed [percutaneous] [needle] biopsy of cerebral meninges
01.12	open biopsy of cerebral meninges
01.13	closed [percutaneous] [needle] biopsy of brain
01.14	open biopsy of brain
01.15	biopsy of skull
01.16	intracranial oxygen monitoring
01.17	brain temperature monitoring
01.18	other diagnostic procedures on brain and cerebral meninges
01.19	other diagnostic procedures on skull
01.2	craniotomy and craniectomy
01.21	incision and drainage of cranial sinus
01.22	removal of intracranial neurostimulator lead(s)
01.23	reopening of craniotomy site
01.24	other craniotomy
01.25	other craniectomy
01.26	insertion of catheter(s) into cranial cavity or tissue
01.27	removal of catheter(s) from cranial cavity or tissue
01.28	placement of intracerebral catheter(s) via burr hole(s)
01.3	incision of brain and cerebral meninges
01.31	incision of cerebral meninges
01.32	lobotomy and tractotomy
01.39	other incision of brain
01.4	operations on thalamus and globus pallidus
01.41	operations on thalamus
01.42	operations on globus pallidus
01.5	other excision or destruction of brain and meninges
01.51	excision of lesion or tissue of cerebral meninges
01.52	hemispherectomy
01.53	lobectomy of brain
01.59	other excision or destruction of lesion or tissue of brain
01.6	excision of lesion of skull
010	primary tuberculous infection
010-018.99	tuberculosis
010.0	primary tuberculous infection
010.00	primary tuberculous infection, unspecified examination
010.01	primary tuberculous infection, bacteriological or histological examination not done
010.02	primary tuberculous infection, bacteriological or histological examination unknown (at present)
010.03	primary tuberculous infection, tubercle bacilli found (in sputum) by microscopy
010.04	primary tuberculous infection, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
010.05	primary tuberculous infection, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
010.06	primary tuberculous infection, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
010.1	tuberculous pleurisy in primary progressive tuberculosis
010.10	tuberculous pleurisy in primary progressive tuberculosis, unspecified examination
010.11	tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination not done
010.12	tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination results unknown (at present)
010.13	tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy
010.14	tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
010.15	tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
010.16	tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
010.8	other primary progressive tuberculosis
010.80	other primary progressive tuberculosis, unspecified examination
010.81	other primary progressive tuberculosis, bacteriological or histological examination not done
010.82	other primary progressive tuberculosis, bacteriological or histological examination unknown (at present)
010.83	other primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy
010.84	other primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
010.85	other primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
010.86	other primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
010.9	primary tuberculous infection, unspecified type
010.90	primary tuberculous infection, unspecified type, unspecified examination
010.91	primary tuberculous infection, unspecified type, bacteriological or histological examination not done
010.92	primary tuberculous infection, unspecified type, bacteriological or histological examination unknown (at present)
010.93	primary tuberculous infection, unspecified type, tubercle bacilli found (in sputum) by microscopy
010.94	primary tuberculous infection, unspecified type, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
010.95	primary tuberculous infection, unspecified type, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
010.96	primary tuberculous infection, unspecified type, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
011	pulmonary tuberculosis
011.0	tuberculosis of lung, infiltrative
011.00	tuberculosis of lung, infiltrative, unspecified examination
011.01	tuberculosis of lung, infiltrative, bacteriological or histological examination not done
011.02	tuberculosis of lung, infiltrative, bacteriological or histological examination unknown (at present)
011.03	tuberculosis of lung, infiltrative, tubercle bacilli found (in sputum) by microscopy
011.04	tuberculosis of lung, infiltrative, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
011.05	tuberculosis of lung, infiltrative, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
011.06	tuberculosis of lung, infiltrative, tubercle bacilli not found bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
011.1	tuberculosis of lung, nodular
011.10	tuberculosis of lung, nodular, unspecified examination
011.11	tuberculosis of lung, nodular, bacteriological or histological examination not done
011.12	tuberculosis of lung, nodular, bacteriological or histological examination unknown (at present)
011.13	tuberculosis of lung, nodular, tubercle bacilli found (in sputum) by microscopy
011.14	tuberculosis of lung, nodular, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
011.15	tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
011.16	tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
011.2	tuberculosis of lung with cavitation
011.20	tuberculosis of lung with cavitation, unspecified examination
011.21	tuberculosis of lung with cavitation, bacteriological or histological examination not done
011.22	tuberculosis of lung with cavitation, bacteriological or histological examination unknown (at present)
011.23	tuberculosis of lung with cavitation, tubercle bacilli found (in sputum) by microscopy
011.24	tuberculosis of lung with cavitation, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
011.25	tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
011.26	tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
011.3	tuberculosis of bronchus
011.30	tuberculosis of bronchus, unspecified examination
011.31	tuberculosis of bronchus, bacteriological or histological examination not done
011.32	tuberculosis of bronchus, bacteriological or histological examination unknown (at present)
011.33	tuberculosis of bronchus, tubercle bacilli found (in sputum) by microscopy
011.34	tuberculosis of bronchus, tubercle bacilli not found (in sputum) by microscopy, but found in bacterial culture
011.35	tuberculosis of bronchus, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
011.36	tuberculosis of bronchus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
011.4	tuberculous fibrosis of lung
011.40	tuberculous fibrosis of lung, unspecified examination
011.41	tuberculous fibrosis of lung, bacteriological or histological examination not done
011.42	tuberculous fibrosis of lung, bacteriological or histological examination unknown (at present)
011.43	tuberculous fibrosis of lung, tubercle bacilli found (in sputum) by microscopy
011.44	tuberculous fibrosis of lung, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
011.45	tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
011.46	tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
011.5	tuberculous bronchiectasis
011.50	tuberculous bronchiectasis, unspecified examination
011.51	tuberculous bronchiectasis, bacteriological or histological examination not done
011.52	tuberculous bronchiectasis, bacteriological or histological examination unknown (at present)
011.53	tuberculous bronchiectasis, tubercle bacilli found (in sputum) by microscopy
011.54	tuberculous bronchiectasis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
011.55	tuberculous bronchiectasis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
011.56	tuberculous bronchiectasis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
