code	desc
003.0	salmonella gastroenteritis
003.1	salmonella septicemia
003.8	other specified salmonella infections
003.9	salmonella infection, unspecified
004.1	shigella flexneri
004.8	other specified shigella infections
004.9	shigellosis, unspecified
005.1	botulism food poisoning
005.81	food poisoning due to vibrio vulnificus
005.9	food poisoning, unspecified
007.1	giardiasis
007.4	cryptosporidiosis
008.04	intestinal infection due to enterohemorrhagic e. coli
008.41	intestinal infection due to staphylococcus
008.43	intestinal infection due to campylobacter
008.45	intestinal infection due to clostridium difficile
008.47	intestinal infection due to other gram-negative bacteria
008.5	bacterial enteritis, unspecified
008.61	enteritis due to rotavirus
008.62	enteritis due to adenovirus
008.63	enteritis due to norwalk virus
008.69	enteritis due to other viral enteritis
008.8	intestinal infection due to other organism, not elsewhere classified
009.0	infectious colitis, enteritis, and gastroenteritis
009.1	colitis, enteritis, and gastroenteritis of presumed infectious origin
009.2	infectious diarrhea
009.3	diarrhea of presumed infectious origin
010.85	other primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
011.23	tuberculosis of lung with cavitation, tubercle bacilli found (in sputum) by microscopy
011.36	tuberculosis of bronchus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
011.64	tuberculous pneumonia [any form], tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
011.86	other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
011.90	pulmonary tuberculosis, unspecified, unspecified
011.93	pulmonary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy
011.94	pulmonary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
012.05	tuberculous pleurisy, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
012.15	tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
013.00	tuberculous meningitis, unspecified
013.04	tuberculous meningitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
013.25	tuberculoma of brain, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
013.30	tuberculous abscess of brain, unspecified
013.54	tuberculous abscess of spinal cord, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
014.02	tuberculous peritonitis, bacteriological or histological examination unknown (at present)
014.05	tuberculous peritonitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
014.85	other tuberculosis of intestines, peritoneum, and mesenteric glands, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
015.04	tuberculosis of vertebral column, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
015.05	tuberculosis of vertebral column, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
018.03	acute miliary tuberculosis, tubercle bacilli found (in sputum) by microscopy
018.05	acute miliary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
018.80	other specified miliary tuberculosis, unspecified
018.90	miliary tuberculosis, unspecified, unspecified
018.94	miliary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
018.95	miliary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
018.96	miliary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
021.8	other specified tularemia
023.9	brucellosis, unspecified
027.0	listeriosis
027.2	pasteurellosis
027.9	unspecified zoonotic bacterial disease
030.9	leprosy, unspecified
031.0	pulmonary diseases due to other mycobacteria
031.1	cutaneous diseases due to other mycobacteria
031.2	disseminated due to other mycobacteria
031.8	other specified mycobacterial diseases
031.9	unspecified diseases due to mycobacteria
032.85	cutaneous diphtheria
032.89	other specified diphtheria
032.9	diphtheria, unspecified
033.8	whooping cough due to other specified organism
034.0	streptococcal sore throat
035	erysipelas
036.0	meningococcal meningitis
036.2	meningococcemia
036.41	meningococcal pericarditis
038.0	streptococcal septicemia
038.10	staphylococcal septicemia, unspecified
038.11	methicillin susceptible staphylococcus aureus septicemia
038.12	methicillin resistant staphylococcus aureus septicemia
038.19	other staphylococcal septicemia
038.2	pneumococcal septicemia [streptococcus pneumoniae septicemia]
038.3	septicemia due to anaerobes
038.40	septicemia due to gram-negative organism, unspecified
038.41	septicemia due to hemophilus influenzae [h. influenzae]
038.42	septicemia due to escherichia coli [e. coli]
038.43	septicemia due to pseudomonas
038.44	septicemia due to serratia
038.49	other septicemia due to gram-negative organisms
038.8	other specified septicemias
038.9	unspecified septicemia
039.1	pulmonary actinomycotic infection
039.2	abdominal actinomycotic infection
039.8	actinomycotic infection of other specified sites
040.0	gas gangrene
040.82	toxic shock syndrome
040.89	other specified bacterial diseases
041.00	streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, unspecified
041.01	streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group a
041.02	streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group b
041.03	streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group c
041.04	streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group d [enterococcus]
041.05	streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group g
041.09	streptococcus infection in conditions classified elsewhere and of unspecified site, other streptococcus
041.10	staphylococcus infection in conditions classified elsewhere and of unspecified site, staphylococcus, unspecified
041.11	methicillin susceptible staphylococcus aureus in conditions classified elsewhere and of unspecified site
041.12	methicillin resistant staphylococcus aureus in conditions classified elsewhere and of unspecified site
041.19	staphylococcus infection in conditions classified elsewhere and of unspecified site, other staphylococcus
041.2	pneumococcus infection in conditions classified elsewhere and of unspecified site
041.3	friedländer's bacillus infection in conditions classified elsewhere and of unspecified site
041.4	escherichia coli [e. coli] infection in conditions classified elsewhere and of unspecified site
041.49	other and unspecified escherichia coli [e. coli]
041.5	hemophilus influenzae [h. influenzae] infection in conditions classified elsewhere and of unspecified site
041.6	proteus (mirabilis) (morganii) infection in conditions classified elsewhere and of unspecified site
041.7	pseudomonas infection in conditions classified elsewhere and of unspecified site
041.82	bacteroides fragilis
041.83	other specified bacterial infections in conditions classified elsewhere and of unspecified site, clostridium perfringens
041.84	other specified bacterial infections in conditions classified elsewhere and of unspecified site, other anaerobes
041.85	other specified bacterial infections in conditions classified elsewhere and of unspecified site, other gram-negative organisms
041.86	helicobacter pylori [h. pylori]
041.89	other specified bacterial infections in conditions classified elsewhere and of unspecified site, other specified bacteria
041.9	bacterial infection, unspecified, in conditions classified elsewhere and of unspecified site
042	human immunodeficiency virus [hiv] disease
045.90	acute poliomyelitis, unspecified, poliovirus, unspecified type
046.3	progressive multifocal leukoencephalopathy
046.71	gerstmann-sträussler-scheinker syndrome
047.0	meningitis due to coxsackie virus
047.8	other specified viral meningitis
047.9	unspecified viral meningitis
048	other enterovirus diseases of central nervous system
049.0	lymphocytic choriomeningitis
049.1	meningitis due to adenovirus
049.8	other specified non-arthropod-borne viral diseases of central nervous system
049.9	unspecified non-arthropod-borne viral diseases of central nervous system
052.0	postvaricella encephalitis
052.1	varicella (hemorrhagic) pneumonitis
052.7	chickenpox with other specified complications
052.9	varicella without mention of complication
053.0	herpes zoster with meningitis
053.11	geniculate herpes zoster
053.12	postherpetic trigeminal neuralgia
053.13	postherpetic polyneuropathy
053.14	herpes zoster myelitis
