code,total,train,dev,test
401.9,20046,17897,708,1441
38.93,12866,11810,333,723
428.0,12842,11731,337,774
427.31,12589,11329,396,864
414.01,12178,10990,388,800
96.04,9493,8821,228,444
96.6,9102,8440,225,437
584.9,8906,7925,292,689
250.00,8783,7897,289,597
272.4,8503,7017,475,1011
96.71,8426,7615,284,527
518.81,7249,6490,254,505
99.04,7102,6944,54,104
39.61,6781,6141,208,432
599.0,6442,5766,214,462
530.81,6154,5372,270,512
96.72,5815,5329,140,346
272.0,5766,5337,151,278
285.9,5295,4614,210,471
88.56,5045,4625,134,286
244.9,4785,4219,180,386
486,4732,4236,159,337
285.1,4499,3924,189,386
38.91,4449,4039,129,281
36.15,4387,3981,138,268
276.2,4358,3799,168,391
496,4296,3864,130,302
99.15,4162,3950,55,157
995.92,3792,3351,134,307
V58.61,3697,3177,176,344
507.0,3592,3297,95,200
038.9,3580,3202,116,262
585.9,3367,2905,150,312
403.90,3350,2792,162,396
311,3347,2819,179,349
88.72,3305,3061,96,148
305.1,3272,2775,167,330
412,3203,2866,112,225
37.22,3147,2861,96,190
39.95,3133,2889,88,156
287.5,3002,2602,138,262
410.71,3001,2755,71,175
276.1,2985,2566,129,290
V45.81,2943,2650,96,197
424.0,2876,2615,72,189
V15.82,2741,2251,157,333
511.9,2693,2413,85,195
93.90,2656,2588,16,52
V45.82,2651,2305,120,226
37.23,2619,2465,48,106
33.24,2607,2278,96,233
403.91,2566,2425,50,91
45.13,2552,2303,82,167
V29.0,2529,2529,0,0
424.1,2517,2220,108,189
785.52,2501,2190,96,215
V58.67,2497,2130,113,254
427.89,2396,2075,109,212
327.23,2328,1945,123,260
997.1,2313,2107,68,138
99.55,2275,2274,0,1
584.5,2223,1969,91,163
276.0,2221,1933,84,204
774.2,2183,2183,0,0
99.83,2183,2183,0,0
518.0,2137,1873,83,181
V05.3,2119,2119,0,0
416.8,2118,1819,97,202
493.90,2113,1860,76,177
276.7,2111,1831,85,195
458.29,2094,1777,96,221
88.53,2066,1993,21,52
274.9,2033,1759,90,184
03.31,1996,1854,54,88
458.9,1992,1739,71,182
99.07,1987,1939,13,35
733.00,1909,1671,68,170
36.12,1897,1765,41,91
780.39,1879,1740,61,78
585.6,1868,1714,58,96
518.5,1778,1645,40,93
427.1,1767,1602,55,110
31.1,1752,1602,41,109
425.4,1666,1494,44,128
411.1,1649,1530,34,85
99.20,1636,1545,31,60
34.91,1590,1469,34,87
V12.51,1567,1335,71,161
357.2,1552,1368,60,124
300.00,1552,1281,79,192
34.04,1545,1432,38,75
43.11,1519,1371,41,107
998.11,1508,1383,43,82
00.40,1502,1291,61,150
36.13,1497,1357,47,93
38.95,1493,1348,47,98
278.00,1483,1241,81,161
790.7,1472,1351,38,83
E879.8,1466,1226,75,165
600.00,1464,1236,66,162
38.97,1462,1136,99,227
