code	desc
00	procedures and interventions, not elsewhere classified
003	other salmonella infections
004	shigellosis
005	other food poisoning (bacterial)
007	other protozoal intestinal diseases
008	intestinal infections due to other organisms
009	ill-defined intestinal infections
01	incision and excision of skull, brain, and cerebral meninges
010	primary tuberculous infection
011	pulmonary tuberculosis
012	other respiratory tuberculosis
013	tuberculosis of meninges and central nervous system
014	tuberculosis of intestines, peritoneum, and mesenteric glands
015	tuberculosis of bones and joints
018	miliary tuberculosis
02	other operations on skull, brain, and cerebral meninges
021	tularemia
023	brucellosis
027	other zoonotic bacterial diseases
03	operations on spinal cord and spinal canal structures
030	leprosy
031	diseases due to other mycobacteria
032	diphtheria
033	whooping cough
034	streptococcal sore throat and scarlet fever
036	meningococcal infection
038	septicemia
039	actinomycotic infections
04	operations on cranial and peripheral nerves
040	other bacterial diseases
041	bacterial infection in conditions classified elsewhere and of unspecified site
045	acute poliomyelitis
046	slow virus infection of central nervous system
047	meningitis due to enterovirus
049	other non-arthropod-borne viral diseases of central nervous system
05	operations on sympathetic nerves or ganglia
052	chickenpox
053	herpes zoster
054	herpes simplex
057	other viral exanthemata
058	other human herpesvirus
06	operations on thyroid and parathyroid glands
062	mosquito-borne viral encephalitis
066	other arthropod-borne viral diseases
07	operations on other endocrine glands
070	viral hepatitis
077	other diseases of conjunctiva due to viruses and chlamydiae
078	other diseases due to viruses and chlamydiae
079	viral and chlamydial infection in conditions classified elsewhere and of unspecified site
08	operations on eyelids
082	tick-borne rickettsioses
083	other rickettsioses
084	malaria
085	leishmaniasis
086	trypanosomiasis
088	other arthropod-borne diseases
09	operations on lacrimal system
090	congenital syphilis
091	early syphilis, symptomatic
093	cardiovascular syphilis
094	neurosyphilis
097	other and unspecified syphilis
098	gonococcal infections
099	other venereal diseases
10	operations on conjunctiva
11	operations on cornea
110	dermatophytosis
111	dermatomycosis, other and unspecified
112	candidiasis
114	coccidioidomycosis
115	histoplasmosis
116	blastomycotic infection
117	other mycoses
12	operations on iris, ciliary body, sclera, and anterior chamber
120	schistosomiasis [bilharziasis]
121	other trematode infections
122	echinococcosis
123	other cestode infection
125	filarial infection and dracontiasis
127	other intestinal helminthiases
13	operations on lens
130	toxoplasmosis
131	trichomoniasis
132	pediculosis and phthirus infestation
133	acariasis
134	other infestation
136	other and unspecified infectious and parasitic diseases
137	late effects of tuberculosis
139	late effects of other infectious and parasitic diseases
14	operations on retina, choroid, vitreous, and posterior chamber
140	malignant neoplasm of lip
141	malignant neoplasm of tongue
142	malignant neoplasm of major salivary glands
143	malignant neoplasm of gum
144	malignant neoplasm of floor of mouth
145	malignant neoplasm of other and unspecified parts of mouth
146	malignant neoplasm of oropharynx
147	malignant neoplasm of nasopharynx
148	malignant neoplasm of hypopharynx
149	malignant neoplasm of other and ill-defined sites within the lip, oral cavity, and pharynx
15	operations on extraocular muscles
150	malignant neoplasm of esophagus
151	malignant neoplasm of stomach
152	malignant neoplasm of small intestine, including duodenum
153	malignant neoplasm of colon
154	malignant neoplasm of rectum, rectosigmoid junction, and anus
155	malignant neoplasm of liver and intrahepatic bile ducts
156	malignant neoplasm of gallbladder and extrahepatic bile ducts
157	malignant neoplasm of pancreas
158	malignant neoplasm of retroperitoneum and peritoneum
159	malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum
16	operations on orbit and eyeball
160	malignant neoplasm of nasal cavities, middle ear, and accessory sinuses
161	malignant neoplasm of larynx
162	malignant neoplasm of trachea, bronchus, and lung
163	malignant neoplasm of pleura
164	malignant neoplasm of thymus, heart, and mediastinum
17	other miscellaneous procedures
170	malignant neoplasm of bone and articular cartilage
171	malignant neoplasm of connective and other soft tissue
172	malignant melanoma of skin
173	other malignant neoplasm of skin
174	malignant neoplasm of female breast
175	malignant neoplasm of male breast
176	kaposi&apos;s sarcoma
18	operations on external ear
