code	desc
401.9	unspecified essential hypertension
38.93	venous catheterization, not elsewhere classified
428.0	congestive heart failure, unspecified
427.31	atrial fibrillation
414.01	coronary atherosclerosis of native coronary artery
96.04	insertion of endotracheal tube
96.6	enteral infusion of concentrated nutritional substances
584.9	acute kidney failure, unspecified
250.00	diabetes mellitus without mention of complication, type ii or unspecified type, not stated as uncontrolled
96.71	continuous invasive mechanical ventilation for less than 96 consecutive hours
272.4	other and unspecified hyperlipidemia
518.81	acute respiratory failure
99.04	transfusion of packed cells
39.61	extracorporeal circulation auxiliary to open heart surgery
599.0	urinary tract infection, site not specified
530.81	esophageal reflux
96.72	continuous invasive mechanical ventilation for 96 consecutive hours or more
272.0	pure hypercholesterolemia
285.9	anemia, unspecified
88.56	coronary arteriography using two catheters
244.9	unspecified acquired hypothyroidism
486	pneumonia, organism unspecified
38.91	arterial catheterization
285.1	acute posthemorrhagic anemia
36.15	single internal mammary-coronary artery bypass
276.2	acidosis
496	chronic airway obstruction, not elsewhere classified
99.15	parenteral infusion of concentrated nutritional substances
995.92	severe sepsis
V58.61	long-term (current) use of anticoagulants
507.0	pneumonitis due to inhalation of food or vomitus
038.9	unspecified septicemia
88.72	diagnostic ultrasound of heart
585.9	chronic kidney disease, unspecified
403.90	hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage i through stage iv, or unspecified
311	depressive disorder, not elsewhere classified
305.1	tobacco use disorder
37.22	left heart cardiac catheterization
412	old myocardial infarction
33.24	closed [endoscopic] biopsy of bronchus
39.95	hemodialysis
287.5	thrombocytopenia, unspecified
410.71	subendocardial infarction, initial episode of care
276.1	hyposmolality and/or hyponatremia
V45.81	aortocoronary bypass status
424.0	mitral valve disorders
45.13	other endoscopy of small intestine
V15.82	personal history of tobacco use
511.9	unspecified pleural effusion
37.23	combined right and left heart cardiac catheterization
